Age,Attrition,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,Income_bin,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome
26,1,Travel_Rarely,Research & Development,Life Sciences,1,Male,1,1,3,Single,2293,1,No,1,2,1,0,0,1,25
27,0,Travel_Frequently,Sales,Life Sciences,4,Male,3,3,3,Single,8726,3,No,9,3,9,8,1,7,8
30,0,Travel_Frequently,Research & Development,Medical,3,Female,3,2,4,Single,4011,2,No,12,3,12,8,3,7,1
41,1,Travel_Rarely,Research & Development,Technical Degree,2,Female,3,5,3,Married,19545,6,No,23,3,22,15,15,8,12
34,0,Non-Travel,Sales,Marketing,2,Male,3,2,3,Single,4568,2,No,10,3,9,5,8,7,23
37,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,1,2,Married,3022,2,No,8,3,1,0,0,0,19
46,0,Travel_Frequently,Sales,Marketing,1,Male,3,2,4,Single,5772,2,Yes,14,3,9,6,0,8,5
35,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,4,1,4,Married,2269,1,No,1,3,1,0,0,1,8
48,1,Travel_Rarely,Research & Development,Life Sciences,1,Male,2,3,3,Single,5381,2,Yes,23,3,1,0,0,0,1
28,1,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,3,Single,3441,2,Yes,2,2,2,2,2,2,5
44,0,Travel_Rarely,Sales,Marketing,2,Female,3,2,1,Divorced,5454,2,Yes,9,2,4,3,1,3,1
35,0,Non-Travel,Research & Development,Medical,3,Male,2,3,1,Married,9884,4,Yes,10,3,4,0,2,3,11
26,0,Travel_Rarely,Sales,Marketing,3,Female,2,2,4,Married,4157,2,Yes,5,2,2,2,0,0,23
33,0,Travel_Frequently,Research & Development,Life Sciences,1,Female,3,3,4,Single,13458,5,Yes,15,3,15,14,8,12,1
35,0,Travel_Frequently,Sales,Life Sciences,2,Male,3,3,1,Married,9069,4,No,9,2,9,8,1,8,18
35,0,Travel_Rarely,Research & Development,Medical,3,Female,3,1,1,Married,4014,2,Yes,4,3,2,2,2,2,23
31,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,2,4,Divorced,5915,2,No,10,2,7,7,1,7,7
37,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,2,2,3,Divorced,5993,2,No,7,4,7,5,0,7,1
32,0,Travel_Rarely,Research & Development,Medical,1,Male,3,2,4,Married,6162,3,Yes,9,3,9,8,7,8,1
38,0,Travel_Frequently,Research & Development,Life Sciences,4,Female,3,2,4,Single,2406,1,No,10,3,10,3,9,9,29
50,0,Travel_Rarely,Research & Development,Medical,2,Female,2,5,3,Divorced,18740,6,Yes,29,2,27,3,13,8,7
59,0,Travel_Rarely,Sales,Life Sciences,1,Female,3,3,1,Single,7637,3,No,28,2,21,16,7,9,25
36,0,Travel_Rarely,Research & Development,Technical Degree,3,Female,3,3,3,Divorced,10096,4,No,17,3,17,14,12,8,8
55,0,Travel_Rarely,Research & Development,Medical,4,Female,3,4,3,Divorced,14756,5,Yes,21,3,5,0,0,2,8
36,0,Travel_Frequently,Research & Development,Life Sciences,2,Male,2,2,2,Single,6499,3,No,6,3,6,5,0,3,11
45,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,3,1,Divorced,9724,4,No,25,3,1,0,0,0,7
35,0,Travel_Frequently,Research & Development,Medical,2,Male,3,1,1,Married,2194,1,No,5,2,3,2,1,2,1
36,1,Travel_Rarely,Research & Development,Medical,4,Male,2,1,3,Married,3388,2,Yes,2,2,1,0,0,0,9
59,0,Travel_Frequently,Sales,Life Sciences,1,Female,2,2,3,Single,5473,2,No,20,2,4,3,1,3,1
29,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,2,Married,2703,1,No,6,3,5,4,0,4,2
31,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,2,Single,2501,1,No,1,3,1,1,1,0,1
32,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,2,2,Married,6220,3,No,10,3,10,4,0,9,1
36,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,4,1,4,Married,3038,2,No,5,3,1,0,0,0,6
31,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,2,4,Single,4424,2,No,11,3,11,7,1,8,8
35,0,Travel_Rarely,Sales,Marketing,3,Male,2,2,1,Single,4312,2,No,16,3,15,13,2,8,1
45,0,Travel_Rarely,Research & Development,Other,4,Male,3,3,1,Married,13245,5,Yes,17,4,0,0,0,0,6
37,0,Travel_Rarely,Research & Development,Medical,1,Male,3,3,3,Single,13664,5,No,16,4,5,2,0,2,7
46,0,Travel_Rarely,Human Resources,Medical,2,Male,3,2,2,Divorced,5021,2,Yes,16,3,4,2,0,2,5
30,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,2,2,4,Married,5126,2,Yes,10,2,10,8,3,0,1
35,0,Travel_Rarely,Research & Development,Medical,2,Male,2,1,3,Single,2859,1,No,6,3,6,4,0,4,1
55,0,Travel_Rarely,Sales,Life Sciences,1,Male,3,3,4,Married,10239,4,No,24,3,1,0,1,0,1
38,0,Non-Travel,Research & Development,Medical,2,Female,1,2,4,Divorced,5329,2,Yes,17,3,13,11,1,9,6
34,0,Travel_Rarely,Research & Development,Medical,1,Male,3,2,2,Married,4325,2,No,5,3,5,2,1,3,1
56,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,1,3,4,Single,7260,3,No,37,2,6,4,0,2,7
23,0,Travel_Rarely,Sales,Technical Degree,3,Male,3,1,1,Divorced,2322,1,No,3,3,0,0,0,0,2
51,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,4,Married,2075,1,No,10,3,4,2,0,3,9
30,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,2,4,Married,4152,2,No,11,3,11,10,10,8,2
46,1,Travel_Rarely,Sales,Medical,3,Male,2,3,4,Single,9619,4,No,9,3,9,8,4,7,9
40,0,Travel_Frequently,Research & Development,Life Sciences,3,Male,2,4,2,Married,13503,5,No,22,2,22,3,11,11,1
51,0,Travel_Rarely,Sales,Marketing,3,Male,3,2,4,Single,5441,2,Yes,11,1,10,7,1,0,21
30,0,Travel_Rarely,Sales,Medical,3,Female,2,2,2,Divorced,5209,2,Yes,11,2,11,8,2,7,4
46,0,Travel_Frequently,Research & Development,Medical,3,Male,2,3,1,Married,10673,4,Yes,21,2,10,9,9,5,1
32,0,Travel_Rarely,Sales,Medical,2,Male,3,2,3,Single,5010,2,No,12,3,11,8,5,7,6
54,0,Travel_Rarely,Research & Development,Technical Degree,1,Female,3,3,3,Married,13549,5,No,16,1,4,3,0,3,2
24,0,Travel_Rarely,Sales,Other,1,Female,3,2,3,Married,4999,2,No,4,2,3,2,0,2,3
28,0,Non-Travel,Sales,Medical,2,Male,3,2,3,Married,4221,2,No,5,4,5,4,0,4,4
58,0,Travel_Rarely,Sales,Medical,4,Male,3,4,3,Single,13872,5,No,38,2,37,10,1,8,10
44,0,Non-Travel,Research & Development,Medical,2,Male,3,2,2,Married,2042,1,No,17,4,3,2,1,2,23
37,1,Travel_Rarely,Human Resources,Human Resources,3,Male,3,1,1,Divorced,2073,1,Yes,7,3,3,2,0,2,6
32,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,1,Single,2956,1,No,1,3,1,0,0,0,1
20,1,Travel_Frequently,Research & Development,Life Sciences,4,Female,2,1,4,Single,2926,1,Yes,1,3,1,0,1,0,6
34,0,Travel_Rarely,Research & Development,Other,1,Female,3,2,3,Single,4809,2,No,16,3,16,13,2,10,6
37,0,Non-Travel,Research & Development,Life Sciences,3,Male,2,2,4,Divorced,5163,2,No,17,4,1,0,0,0,2
59,0,Non-Travel,Human Resources,Human Resources,3,Female,2,5,4,Married,18844,6,No,30,3,3,2,2,2,2
50,0,Travel_Frequently,Research & Development,Life Sciences,1,Female,3,5,2,Married,18172,6,Yes,28,2,8,3,0,7,1
25,1,Travel_Rarely,Sales,Marketing,3,Male,2,2,3,Single,5744,2,Yes,6,3,6,4,0,3,5
25,0,Travel_Rarely,Research & Development,Medical,4,Male,2,1,4,Married,2889,1,No,2,3,2,2,2,1,7
22,0,Travel_Rarely,Research & Development,Medical,2,Female,3,1,4,Single,2871,1,No,1,3,0,0,0,0,15
51,0,Travel_Frequently,Research & Development,Medical,1,Female,2,3,1,Single,7484,3,No,23,2,13,12,12,8,1
34,1,Travel_Frequently,Research & Development,Life Sciences,1,Male,1,2,3,Single,6074,3,Yes,9,3,9,7,0,6,7
54,0,Non-Travel,Human Resources,Human Resources,4,Female,4,4,4,Single,17328,6,Yes,23,3,5,3,4,4,26
24,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,1,3,Married,2774,1,No,6,3,5,3,1,2,18
34,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,2,2,2,Divorced,4505,2,No,12,3,1,0,0,0,6
37,0,Travel_Rarely,Sales,Life Sciences,3,Male,3,3,4,Single,7428,3,No,12,3,5,3,1,3,3
34,0,Travel_Rarely,Research & Development,Medical,3,Female,2,3,1,Single,11631,4,No,14,3,11,10,5,8,5
36,0,Travel_Frequently,Sales,Technical Degree,2,Female,3,3,4,Married,9738,4,No,10,3,9,7,2,8,11
36,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,1,4,Divorced,2835,1,No,7,3,1,0,0,0,3
43,0,Travel_Frequently,Sales,Life Sciences,3,Male,3,4,4,Married,16959,6,Yes,25,4,25,12,4,12,26
30,0,Travel_Frequently,Research & Development,Life Sciences,1,Male,1,1,3,Divorced,2613,1,No,10,2,10,7,0,9,23
33,0,Non-Travel,Sales,Marketing,3,Male,3,2,2,Married,6146,3,No,8,4,7,7,0,7,22
56,1,Travel_Rarely,Research & Development,Life Sciences,2,Female,3,1,2,Married,4963,2,Yes,7,3,5,4,4,3,14
51,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,5,3,Single,19537,6,No,23,3,20,18,15,15,6
31,1,Travel_Rarely,Sales,Life Sciences,2,Male,1,2,3,Married,6172,3,Yes,12,2,7,7,7,7,6
26,0,Travel_Rarely,Research & Development,Other,3,Female,2,1,2,Married,2368,1,No,5,2,5,4,4,3,6
58,1,Travel_Rarely,Research & Development,Medical,4,Female,3,3,4,Married,10312,4,No,40,2,40,10,15,6,23
19,1,Travel_Rarely,Sales,Marketing,4,Male,3,1,3,Single,1675,1,Yes,0,2,0,0,0,0,22
22,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,4,Married,2523,1,No,3,3,2,1,2,1,2
49,0,Travel_Rarely,Research & Development,Medical,3,Female,3,2,1,Married,6567,3,No,16,2,15,11,5,11,20
43,0,Travel_Frequently,Research & Development,Medical,2,Female,4,1,3,Single,4739,2,No,18,3,3,2,1,2,28
50,0,Travel_Frequently,Sales,Marketing,3,Female,3,3,4,Single,9208,4,No,16,3,2,2,2,1,12
31,1,Travel_Rarely,Sales,Life Sciences,2,Female,1,2,3,Married,4559,2,Yes,4,3,2,2,2,2,20
41,0,Travel_Rarely,Sales,Life Sciences,3,Male,3,3,3,Divorced,8189,3,Yes,12,3,9,7,0,7,9
26,0,Travel_Rarely,Human Resources,Life Sciences,3,Female,3,1,3,Married,2942,1,No,8,3,8,7,5,7,25
36,0,Travel_Rarely,Research & Development,Medical,2,Male,3,2,2,Divorced,4941,2,No,7,3,3,2,0,1,6
51,1,Travel_Frequently,Research & Development,Life Sciences,1,Male,1,3,4,Single,10650,4,No,18,3,4,2,0,3,8
39,0,Travel_Rarely,Sales,Life Sciences,4,Female,2,2,3,Married,5902,2,No,17,4,15,11,5,9,4
25,0,Travel_Rarely,Sales,Life Sciences,1,Male,2,2,3,Married,8639,3,No,6,3,2,2,2,2,28
30,0,Travel_Rarely,Human Resources,Human Resources,3,Male,3,2,4,Married,6347,3,Yes,12,1,11,9,4,7,9
32,1,Travel_Rarely,Research & Development,Medical,1,Female,3,1,1,Single,4200,2,No,10,4,5,4,0,4,9
45,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Single,3452,2,No,9,2,6,5,0,3,29
38,0,Travel_Rarely,Research & Development,Technical Degree,4,Female,3,2,3,Single,4317,2,Yes,19,3,3,2,2,2,3
30,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,1,3,Single,2632,1,No,5,2,5,4,0,4,18
32,0,Travel_Frequently,Sales,Medical,4,Male,1,2,4,Divorced,4668,2,No,9,4,8,7,0,7,9
30,0,Travel_Rarely,Research & Development,Technical Degree,4,Female,3,1,1,Divorced,3204,2,No,8,3,3,2,2,2,5
30,0,Travel_Rarely,Research & Development,Medical,2,Male,2,1,4,Single,2720,1,No,6,3,5,3,1,2,2
41,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,2,4,1,Divorced,17181,6,No,21,2,7,6,7,7,10
41,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,1,Married,2238,1,No,7,3,5,0,1,4,9
19,0,Travel_Rarely,Research & Development,Medical,2,Female,3,1,2,Single,1483,1,No,1,3,1,0,0,0,3
40,0,Travel_Frequently,Research & Development,Medical,2,Female,3,2,2,Divorced,5605,2,No,20,3,20,7,2,13,26
35,0,Travel_Rarely,Sales,Marketing,3,Male,3,3,2,Married,7295,3,No,10,3,10,8,0,6,1
53,0,Travel_Rarely,Sales,Marketing,2,Male,3,2,3,Married,2306,1,Yes,13,1,7,7,4,5,6
45,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,2,2,Divorced,2348,1,No,20,1,17,9,0,15,9
32,0,Travel_Frequently,Sales,Marketing,2,Female,3,3,4,Single,8998,3,No,9,3,9,8,3,7,8
29,0,Non-Travel,Research & Development,Technical Degree,4,Male,3,2,3,Married,4319,2,No,10,3,10,7,0,9,1
51,0,Travel_Rarely,Research & Development,Medical,2,Male,2,2,3,Married,6132,3,No,10,3,1,0,0,0,7
58,0,Travel_Rarely,Research & Development,Medical,2,Female,2,1,2,Married,3346,2,Yes,9,2,1,0,0,0,9
40,0,Travel_Rarely,Sales,Marketing,3,Male,2,3,4,Married,10855,4,No,15,2,12,11,2,11,4
34,0,Travel_Frequently,Sales,Marketing,3,Female,3,1,3,Married,2231,1,No,6,3,4,3,1,2,2
22,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Married,2323,1,No,2,3,2,2,2,2,19
27,0,Non-Travel,Research & Development,Medical,4,Male,3,1,2,Divorced,2024,1,No,6,1,2,2,2,2,9
28,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Married,2713,1,No,5,1,5,2,0,2,21
57,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,4,3,4,Divorced,9439,4,Yes,12,1,5,3,1,4,24
27,0,Non-Travel,Research & Development,Medical,3,Male,2,1,3,Divorced,2566,1,Yes,1,2,1,1,0,1,3
50,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,5,2,Single,19926,6,No,21,3,5,4,4,4,11
41,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,1,3,Divorced,2451,1,No,13,3,9,8,1,8,14
30,0,Travel_Rarely,Sales,Life Sciences,2,Female,3,3,4,Married,9419,4,No,12,3,10,9,7,4,5
38,0,Travel_Rarely,Sales,Life Sciences,1,Female,2,2,4,Single,8686,3,No,12,4,8,3,0,7,1
32,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,3,Single,3038,2,No,8,3,5,4,1,4,6
27,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,2,Married,3058,2,Yes,6,2,5,2,1,1,17
19,1,Travel_Frequently,Sales,Technical Degree,3,Female,1,1,1,Single,2325,1,No,1,4,0,0,0,0,1
36,0,Travel_Frequently,Research & Development,Medical,4,Male,3,1,2,Single,2088,1,No,13,2,8,7,7,2,3
30,0,Non-Travel,Research & Development,Medical,3,Male,3,2,1,Divorced,3072,2,No,12,3,12,9,6,10,9
45,0,Travel_Rarely,Sales,Life Sciences,3,Female,3,2,1,Divorced,5006,2,Yes,9,4,5,4,0,3,4
56,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,1,1,Divorced,4257,2,Yes,19,3,2,2,2,2,8
33,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,4,Single,2500,1,No,4,4,3,1,0,2,2
19,1,Travel_Rarely,Research & Development,Life Sciences,2,Male,2,1,4,Single,1102,1,No,1,2,1,0,1,0,2
46,0,Travel_Rarely,Sales,Marketing,2,Female,3,3,1,Divorced,10453,4,No,24,3,24,13,15,7,1
38,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,1,4,Single,2288,1,No,2,3,2,2,2,1,9
31,0,Travel_Rarely,Research & Development,Medical,3,Female,3,1,4,Married,3929,2,Yes,7,3,4,2,0,2,12
34,0,Travel_Rarely,Research & Development,Medical,4,Female,3,1,2,Single,2311,1,No,9,3,3,2,1,2,27
41,1,Travel_Rarely,Sales,Marketing,2,Female,3,1,2,Single,3140,2,Yes,4,2,4,3,0,2,20
50,0,Travel_Rarely,Research & Development,Medical,3,Male,2,1,3,Married,3690,2,No,5,2,3,2,0,2,1
53,0,Travel_Rarely,Research & Development,Medical,4,Female,4,2,1,Divorced,4450,2,No,5,3,4,2,1,3,13
33,0,Travel_Rarely,Research & Development,Medical,4,Female,3,1,2,Married,2756,1,No,8,3,8,7,1,6,14
40,0,Travel_Rarely,Research & Development,Medical,4,Female,3,5,3,Married,19033,6,No,21,3,20,8,9,9,4
55,0,Travel_Rarely,Research & Development,Medical,3,Male,4,5,2,Single,18722,6,No,36,3,24,15,2,15,14
34,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,2,2,3,Married,9547,4,No,10,2,10,9,1,9,2
51,0,Travel_Rarely,Research & Development,Medical,4,Female,3,4,2,Single,13734,5,No,21,3,7,7,1,0,3
52,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,5,3,Married,19999,6,No,34,3,33,18,11,9,1
27,0,Travel_Rarely,Research & Development,Medical,4,Female,3,1,2,Single,2279,1,No,7,2,7,7,0,3,9
35,1,Travel_Rarely,Research & Development,Life Sciences,2,Male,2,2,3,Married,5916,2,Yes,8,3,1,0,0,1,23
43,0,Non-Travel,Research & Development,Medical,4,Male,4,1,4,Divorced,2089,1,No,7,4,5,4,2,2,7
45,0,Non-Travel,Research & Development,Medical,1,Male,2,4,4,Married,16792,6,No,22,3,20,8,11,8,2
37,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,4,1,1,Married,3564,2,Yes,8,2,8,7,1,7,21
35,0,Travel_Frequently,Research & Development,Medical,2,Female,3,2,2,Single,4425,2,No,10,3,6,2,1,2,2
42,0,Non-Travel,Research & Development,Medical,3,Female,3,2,3,Divorced,5265,2,No,11,3,5,3,0,2,21
38,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,2,3,Married,6553,3,No,14,3,1,0,0,0,2
38,0,Travel_Rarely,Research & Development,Technical Degree,4,Male,3,2,4,Married,6261,3,No,9,1,7,7,1,7,29
27,0,Travel_Frequently,Research & Development,Technical Degree,3,Male,2,2,1,Married,4298,2,No,6,3,2,2,2,0,1
49,0,Non-Travel,Research & Development,Life Sciences,4,Male,3,2,4,Divorced,6804,3,Yes,7,3,7,7,1,7,18
34,0,Travel_Frequently,Research & Development,Medical,4,Male,3,1,3,Divorced,3815,2,Yes,5,4,5,3,2,0,10
40,0,Travel_Rarely,Research & Development,Medical,3,Male,3,2,4,Married,2741,1,Yes,15,4,7,2,3,7,19
38,1,Travel_Rarely,Research & Development,Medical,2,Male,3,2,1,Married,6673,3,Yes,17,3,1,0,0,0,29
29,1,Travel_Rarely,Sales,Marketing,2,Female,3,3,4,Married,7639,3,No,10,2,10,4,1,9,27
22,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,4,1,2,Divorced,2328,1,Yes,4,2,4,2,2,2,5
36,0,Travel_Frequently,Research & Development,Medical,2,Female,3,1,4,Single,2153,1,No,8,3,8,1,1,7,18
40,0,Non-Travel,Research & Development,Life Sciences,4,Male,2,2,4,Married,4876,2,No,5,1,3,2,0,2,9
46,0,Travel_Rarely,Research & Development,Medical,4,Male,3,3,1,Divorced,9396,4,No,17,3,4,2,0,3,1
32,1,Travel_Rarely,Sales,Medical,4,Male,1,3,4,Married,10400,4,No,14,2,14,8,9,8,4
30,0,Non-Travel,Research & Development,Life Sciences,3,Male,2,3,3,Single,8474,3,No,12,3,11,8,5,8,1
27,0,Travel_Frequently,Sales,Life Sciences,4,Female,3,2,3,Single,9981,4,No,7,3,7,7,0,7,20
51,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,2,3,2,Married,12490,5,No,16,1,10,9,4,7,8
30,1,Travel_Rarely,Research & Development,Technical Degree,4,Female,3,1,1,Single,2657,1,Yes,8,3,5,2,0,4,3
41,0,Travel_Rarely,Sales,Life Sciences,4,Female,3,3,4,Single,13591,5,Yes,16,3,1,0,0,0,6
30,1,Travel_Frequently,Sales,Marketing,3,Female,2,2,1,Single,6696,3,No,9,2,6,3,0,1,26
29,1,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,3,Single,2058,1,No,7,2,6,2,1,5,1
45,0,Non-Travel,Sales,Medical,4,Female,2,3,4,Single,8865,3,No,23,3,19,7,12,8,6
54,0,Travel_Rarely,Sales,Marketing,4,Female,3,2,1,Married,5940,2,No,16,3,6,2,0,5,3
36,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,2,2,Single,5914,2,No,16,4,13,11,3,7,5
33,0,Travel_Rarely,Research & Development,Medical,3,Female,2,1,2,Married,2622,1,No,7,3,3,2,1,1,4
37,0,Travel_Frequently,Research & Development,Other,2,Male,3,3,4,Divorced,12185,5,Yes,10,3,10,8,0,7,11
38,0,Travel_Rarely,Sales,Life Sciences,1,Male,3,3,3,Divorced,10609,4,No,17,2,16,10,5,13,3
31,0,Non-Travel,Research & Development,Medical,3,Male,1,2,3,Married,4345,2,No,6,3,5,4,1,4,1
59,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,1,4,Married,2177,1,No,7,3,1,0,0,0,3
37,0,Travel_Frequently,Sales,Marketing,1,Male,3,1,4,Divorced,2793,1,No,13,3,9,8,5,8,4
29,0,Travel_Frequently,Sales,Medical,2,Female,3,3,4,Married,7918,3,No,11,3,11,10,4,1,1
